1588504529.000000, 1588504529.000000, 1588504529.000000
32.000000, 32.000000, 32.000000
-64,9,-8
-65,8,-9
-64,7,-8
-63,6,-7
-64,4,-8
-65,4,-9
-65,5,-8
-65,5,-7
-64,7,-8
-65,9,-8
-65,11,-9
-63,12,-9
-63,12,-10
-63,12,-10
-63,12,-7
-63,11,-5
-64,11,-6
-65,11,-7
-65,12,-6
-63,12,-4
-64,11,-5
-65,10,-5
-65,10,-4
-64,11,-4
-63,12,-3
-63,12,-3
-64,12,-2
-65,12,-2
-64,13,-2
-63,13,-2
-65,11,-3
-65,11,-2
-63,12,0
-63,13,-1
-64,13,-4
-64,13,-5
-63,14,-4
-64,14,-4
-64,14,-4
-64,14,-5
-64,12,-4
-65,11,-4
-65,12,-3
-64,12,-2
-63,13,-2
-64,13,-1
-64,12,-2
-64,11,-2
-64,11,-1
-65,12,-1
-64,12,-4
-64,12,-3
-64,11,0
-64,11,0
-64,9,0
-65,10,0
-65,10,-1
-65,11,-2
-64,11,-2
-64,12,-3
-65,14,-3
-65,13,-4
-64,12,-4
-65,12,-3
-64,11,-2
-63,11,-3
-63,11,-3
-64,12,-2
-64,12,-2
-65,12,-3
-64,13,-4
-65,13,-4
-64,12,-3
-64,12,-3
-64,12,-1
-63,12,-1
-63,11,-2
-64,11,0
-64,11,1
-63,11,1
-64,12,1
-65,13,0
-64,12,-1
-64,11,0
-64,11,1
-62,9,2
-65,9,2
-69,8,-1
-64,9,4
-63,9,5
-65,7,3
-65,6,2
-65,7,3
-65,9,2
-64,9,1
-65,11,1
-65,11,1
-64,11,2
-64,11,0
-64,12,0
-64,11,0
-64,11,0
-64,12,0
-64,12,-1
-66,12,-2
-67,13,-1
-68,13,-1
-71,13,-1
-72,12,2
-74,13,2
-73,13,4
-74,13,6
-77,10,6
-73,8,10
-69,9,14
-65,7,18
-65,6,17
-62,5,16
-60,3,17
-58,1,17
-57,-3,20
-57,-3,21
-58,-3,17
-54,-7,20
-53,-6,18
-62,1,20
-61,0,25
-63,-2,29
-66,0,29
-65,-2,33
-60,-2,40
-59,-4,39
-55,-8,36
-47,-9,45
-46,-9,44
-45,-15,43
-44,-16,47
-41,-12,45
-37,-11,42
-38,-10,39
-38,-12,36
-39,-13,39
-38,-9,43
-41,-14,40
-41,-16,44
-39,-18,53
-38,-19,54
-35,-18,53
-36,-18,57
-35,-17,55
-35,-13,53
-35,-13,52
-36,-10,46
-36,-10,42
-38,-11,44
-35,-9,46
-33,-11,44
-33,-16,44
-29,-14,45
-27,-14,45
-27,-16,49
-29,-13,49
-31,-12,51
-32,-12,54
-32,-9,57
-33,-4,55
-34,-8,56
-33,-5,56
-32,-3,55
-33,-6,56
-34,2,59
-31,2,58
-32,-5,56
-31,-3,57
-29,-5,55
-31,-9,55
-32,-11,51
-33,-11,50
-35,-9,49
-36,-11,48
-40,-13,47
-40,-12,48
-38,-11,48
-40,-15,51
-41,-13,51
-40,-15,45
-40,-14,47
-40,-12,46
-41,-13,45
-43,-14,45
-46,-14,45
-49,-15,46
-51,-15,46
-54,-14,46
-54,-14,46
-54,-12,48
-53,-10,46
-53,-9,45
-50,-6,46
-50,-5,46
-50,-2,44
-47,-2,44
-46,-1,44
-43,1,45
-43,2,46
-41,2,46
-41,3,46
-41,3,46
-42,3,48
-43,3,49
-44,5,49
-45,6,50
-46,7,51
-44,7,51
-44,7,52
-41,7,52
-40,6,51
-39,5,51
-40,5,49
-40,6,48
-39,4,47
-40,3,47
-41,2,48
-41,-1,48
-41,-4,47
-41,-6,46
-43,-9,48
-43,-10,48
-42,-12,47
-42,-12,44
-41,-15,44
-43,-15,47
-43,-15,45
-47,-14,45
-49,-13,46
-46,-16,45
-43,-16,44
-40,-16,42
-38,-19,42
-37,-21,41
-35,-23,41
-34,-25,47
-36,-24,50
-42,-21,51
-44,-21,50
-46,-21,51
-45,-22,51
-45,-23,49
-43,-27,47
-43,-28,46
-42,-28,46
-40,-30,48
-40,-31,48
-40,-30,47
-40,-29,48
-37,-28,47
-38,-28,45
-38,-25,44
-36,-21,43
-36,-19,43
-35,-16,43
-34,-13,43
-32,-11,44
-32,-11,47
-33,-11,46
-35,-11,48
-35,-12,52
-35,-13,53
-33,-13,53
-34,-13,53
-36,-11,55
-32,-8,56
-31,-6,58
-29,2,60
-26,7,62
-24,9,62
-27,9,65
-28,10,71
